mandat_id,mandature_id,personne_id,nom,prenom,role,from_date,to_date,source_personne,source
,gouv_de_freycinet_4,,Barbey,Édouard,Ministre de la Marine,,,,https://fr.wikipedia.org/wiki/Gouvernement_Charles_de_Freycinet_(4)
,gouv_rouvier_1,,Barbey,Édouard,Ministre de la Marine et des Colonies,,,,https://fr.wikipedia.org/wiki/Gouvernement_Maurice_Rouvier_(1)
,gouv_tirard_2,,Barbey,Édouard,Ministre de la Marine,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Tirard_(2)
,gouv_daladier_2,,Bardon,André,Sous-secrétaire d’État à l’Éducation nationale chargé des Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Daladier_(2)
,gouv_reynaud,,Baréty,Léon,Ministre du Commerce et de l'Industrie,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Reynaud
,gouv_tardieu_1,,Baréty,Léon,Sous-secrétaire d’État à l'Enseignement technique,,,,https://fr.wikipedia.org/wiki/Gouvernement_André_Tardieu_(1)
,gouv_tardieu_2,,Baréty,Léon,Sous-secrétaire d’État au Budget,,,,https://fr.wikipedia.org/wiki/Gouvernement_André_Tardieu_(2)
,gouv_barthou,,Barthou,Louis,Ministre de l'Instruction publique et des Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Louis_Barthou
,gouv_barthou,,Barthou,Louis,Président du Conseil,,,,https://fr.wikipedia.org/wiki/Gouvernement_Louis_Barthou
,gouv_briand_1,,Barthou,Louis,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(1)
,gouv_briand_11,,Barthou,Louis,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(11)
,gouv_briand_3,,Barthou,Louis,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(3)
,gouv_briand_4,,Barthou,Louis,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(4)
,gouv_briand_7,,Barthou,Louis,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(7)
,gouv_clemenceau_1,,Barthou,Louis,"Ministre des Travaux publics, des Postes et Télégraphes",,,,https://fr.wikipedia.org/wiki/Gouvernement_Georges_Clemenceau_(1)
,gouv_doumergue_2,,Barthou,Louis,Ministre des Affaires étrangères,,,,https://fr.wikipedia.org/wiki/Gouvernement_Gaston_Doumergue_(2)
